,Unnamed: 0,struct,comp,E_P0,V_P0,Vf_P0,B0,BP0,c1s,Ncontent,Hcontent
105,105,cf370,Lu8 N6 H4,-1.4154611254804574,11.608033493838263,-7.613772061717293,223.23156669150296,20.064682529825514,-21.30817675002269,6.0,4.0
106,106,cf714,Lu8 H9 N6,-1.037287431931042,10.24154140234619,-6.239654249827724,72.84906781892273,18.763165912854657,-7.790483223536948,6.0,9.0
107,107,cf526,Lu8 H8 N3,-0.8696564993121061,12.18602288397326,-5.084832379184635,48.337810143606326,16.168602037910734,-4.253263563524753,3.0,8.0
108,108,cf946,Lu8 H8 N4,-1.2134730142330228,11.363345102497188,-5.7824048975028095,130.90432393182823,4.717003456504434,-11.626281132519772,4.0,8.0
109,109,cf348,Lu8 H5 N3,-0.921165525597644,14.279538697110572,-4.989289427889426,90.55841092796254,4.420371918162763,-6.39515461225628,3.0,5.0
110,110,cf521,Lu8 H4 N4,-1.0712686268961988,13.067162623061698,-6.711274876938301,215.4133107785452,21.226703724491877,-18.466183206113257,4.0,4.0
111,111,cf377,Lu8 N8 H1,-1.7684651860703633,12.558740998745195,-8.363906060078333,176.35193641971455,3.589325705247647,-14.130620575653394,8.0,1.0
112,112,cf1315,Lu8 H9 N3,-0.9758766578699578,11.422886374840807,-5.315176125159193,108.6016468332801,4.942588453234673,-9.6014321470024,3.0,9.0
113,113,cf341,Lu8 H16 N3,-0.7775499808561074,9.156733324606336,-4.956831490208479,68.9271666641283,13.10651436705026,-7.899074241541814,3.0,16.0
114,114,cf173,Lu8 H12,-0.488784308621689,12.350287627060686,-3.164712372939312,63.870524735991,7.430595302408259,-5.268120762843208,0.0,12.0
115,115,cf517,Lu8 H14 N4,-0.8591722009838961,10.48476202867252,-4.230814894404402,120.04882380270593,21.71518817008728,-12.8866816236796,4.0,14.0
116,116,cf725,Lu8 H8 N5,-1.1345780820951663,11.548865604107489,-5.483693919702034,102.1378556729426,7.911667172121141,-9.026951071799711,5.0,8.0
117,117,cf187,Lu8 N8 H4,-1.3397563292230188,12.102216535523056,-6.674283464476943,105.54232165655036,7.214864949932827,-8.8760941619804,8.0,4.0
118,118,cf977,Lu8 H9 N1,-0.6551875001815561,14.480038824240966,-2.4768361757590345,68.47585633746678,3.865103612317664,-4.761918222321975,1.0,9.0
119,119,cf180,Lu8 H16 N5,-0.7641644624668045,9.445673729401763,-4.713076270598237,71.2634447900974,2.150930142240734,-7.570081135260708,5.0,16.0
120,120,cf1324,Lu8 H15 N1,-0.7086507116625095,9.901340434607071,-4.470065815392928,100.96983884220649,13.370762563255711,-10.719322772773497,1.0,15.0
121,121,cf510,Lu8 H10 N8,-0.8454195265798122,10.510141515199503,-5.459858484800498,90.2231205786841,6.430094468796029,-8.711437239337169,8.0,10.0
122,122,cf948,Lu8 H12 N6,-0.8133345165462322,10.671993326413723,-4.670795135124736,81.54845231421677,5.872336689832657,-7.739485692261101,6.0,12.0
123,123,cf174,Lu8 N7 H11,-0.7909836763635842,10.833726565024206,-4.822667665745024,74.73173068810593,4.819533682102286,-6.963817168581806,7.0,11.0
124,124,cf346,Lu8 N6 H7,-1.0458956899709024,11.12575748321676,-6.295075850116575,82.46632289886243,20.6113394722427,-8.254627046259673,6.0,7.0
